urbanizacion,perdida_veg,ganancia_veg,nuevo_agua,zona,total_pixeles,urbanizacion_pct,perdida_veg_pct,ganancia_veg_pct,nuevo_agua_pct,urbanizacion_ha,perdida_veg_ha,ganancia_veg_ha,nuevo_agua_ha
0.0,0.0,0.0,0.0,5109141003011,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121001012,0.0,,,,,0.0,0.0,0.0,0.0
4.0,1.0,15.0,0.0,5109171001009,20.0,20.0,5.0,75.0,0.0,0.04,0.01,0.15,0.0
1.0,3.0,128.0,2.0,5109121002009,134.0,0.746268656716418,2.2388059701492535,95.5223880597015,1.492537313432836,0.01,0.03,1.28,0.02
0.0,3.0,0.0,0.0,5109041008021,3.0,0.0,100.0,0.0,0.0,0.0,0.03,0.0,0.0
1.0,6.0,61.0,0.0,5109041008027,68.0,1.4705882352941178,8.823529411764707,89.70588235294117,0.0,0.01,0.06,0.61,0.0
0.0,0.0,0.0,0.0,5109041011011,0.0,,,,,0.0,0.0,0.0,0.0
0.0,30.0,157.0,0.0,5109041008028,187.0,0.0,16.0427807486631,83.9572192513369,0.0,0.0,0.3,1.57,0.0
0.0,0.0,2.0,0.0,5109041008023,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.02,0.0
0.0,0.0,2.0,0.0,5109121002015,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.02,0.0
0.0,0.0,0.0,0.0,5109041003043,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,12.0,0.0,5109041003046,12.0,0.0,0.0,100.0,0.0,0.0,0.0,0.12,0.0
0.0,0.0,0.0,0.0,5109121002016,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121002012,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121002017,0.0,,,,,0.0,0.0,0.0,0.0
13.0,66.0,218.0,0.0,5109171001008,297.0,4.377104377104377,22.22222222222222,73.4006734006734,0.0,0.13,0.66,2.18,0.0
17.0,71.0,208.0,0.0,5109141003001,296.0,5.743243243243243,23.986486486486488,70.27027027027027,0.0,0.17,0.71,2.08,0.0
0.0,0.0,0.0,0.0,5109041003033,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109121002018,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109141003012,0.0,,,,,0.0,0.0,0.0,0.0
0.0,3.0,18.0,0.0,5109171011008,21.0,0.0,14.285714285714286,85.71428571428571,0.0,0.0,0.03,0.18,0.0
0.0,0.0,0.0,0.0,5109051001009,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109131003023,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109131002034,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109051001012,0.0,,,,,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5109171004036,0.0,,,,,0.0,0.0,0.0,0.0
4.0,12.0,36.0,37.0,5109131004001,89.0,4.49438202247191,13.48314606741573,40.449438202247194,41.57303370786517,0.04,0.12,0.36,0.37
2.0,4.0,0.0,0.0,5109041008024,6.0,33.333333333333336,66.66666666666667,0.0,0.0,0.02,0.04,0.0,0.0
0.0,0.0,0.0,0.0,5109041011010,0.0,,,,,0.0,0.0,0.0,0.0
1.0,8.0,17.0,0.0,5109041011007,26.0,3.8461538461538463,30.76923076923077,65.38461538461539,0.0,0.01,0.08,0.17,0.0
0.0,0.0,63.0,0.0,5109041003003,63.0,0.0,0.0,100.0,0.0,0.0,0.0,0.63,0.0
1.0,3.0,3.0,0.0,5109041011006,7.0,14.285714285714286,42.857142857142854,42.857142857142854,0.0,0.01,0.03,0.03,0.0
0.0,0.0,0.0,0.0,5109041011012,0.0,,,,,0.0,0.0,0.0,0.0
1.0,1.0,2.0,7.0,5109041011008,11.0,9.090909090909092,9.090909090909092,18.181818181818183,63.63636363636363,0.01,0.01,0.02,0.07
